src_port,dst_port,protocol,ip_version,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,bidirectional_min_ps,bidirectional_mean_ps,bidirectional_stddev_ps,bidirectional_max_ps,src2dst_min_ps,src2dst_mean_ps,src2dst_stddev_ps,src2dst_max_ps,dst2src_min_ps,dst2src_mean_ps,dst2src_stddev_ps,dst2src_max_ps,bidirectional_min_piat_ms,bidirectional_mean_piat_ms,bidirectional_stddev_piat_ms,bidirectional_max_piat_ms,src2dst_min_piat_ms,src2dst_mean_piat_ms,src2dst_stddev_piat_ms,src2dst_max_piat_ms,dst2src_min_piat_ms,dst2src_mean_piat_ms,dst2src_stddev_piat_ms,dst2src_max_piat_ms,bidirectional_syn_packets,bidirectional_cwr_packets,bidirectional_ece_packets,bidirectional_urg_packets,bidirectional_ack_packets,bidirectional_psh_packets,bidirectional_rst_packets,bidirectional_fin_packets,src2dst_syn_packets,src2dst_ack_packets,src2dst_psh_packets,src2dst_rst_packets,src2dst_fin_packets,dst2src_syn_packets,dst2src_ack_packets,dst2src_psh_packets,dst2src_rst_packets,dst2src_fin_packets
36373,1900,17,4,780,4,698,780,4,698,0,0,0,0,0,174,174.5,5.773.502.691.896.210,175,174,174.5,5.773.502.691.896.210,175,0,0.0,0.0,0,260,260.0,0.0,260,260,260.0,0.0,260,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5353,5353,17,4,32025,2,970,32025,2,970,0,0,0,0,0,485,485.0,0.0,485,485,485.0,0.0,485,0,0.0,0.0,0,32025,32025.0,0.0,32025,32025,32025.0,0.0,32025,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5353,5353,17,6,32025,2,1010,32025,2,1010,0,0,0,0,0,505,505.0,0.0,505,505,505.0,0.0,505,0,0.0,0.0,0,32025,32025.0,0.0,32025,32025,32025.0,0.0,32025,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36373,1900,17,4,779,4,698,779,4,698,0,0,0,0,0,174,174.5,5.773.502.691.896.210,175,174,174.5,5.773.502.691.896.210,175,0,0.0,0.0,0,259,2.596.666.666.666.660,577.350.269.189.634,260,259,2.596.666.666.666.660,577.350.269.189.634,260,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5353,5353,17,4,758,6,1615,758,6,1615,0,0,0,0,0,93,2.691.666.666.666.660,19.674.187.827.370.800,507,93,2.691.666.666.666.660,19.674.187.827.370.800,507,0,0.0,0.0,0,1,151.6,13.656.976.239.270.500,252,1,151.6,13.656.976.239.270.500,252,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5353,5353,17,6,758,6,1735,758,6,1735,0,0,0,0,0,113,2.891.666.666.666.660,19.674.187.827.370.800,527,113,2.891.666.666.666.660,19.674.187.827.370.800,527,0,0.0,0.0,0,2,151.6,1.365.661.012.110.980,252,2,151.6,1.365.661.012.110.980,252,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55320,443,6,6,594,30,3845,594,20,2450,1744244541397,1744244541523,126,10,1395,74,12.816.666.666.666.600,15.211.884.721.546.100,841,74,122.5,17.093.381.298.342.500,841,74,139.5,11.254.060.995.431.300,361,0,20.482.758.620.689.600,8.183.197.972.922.280,442,0,31.263.157.894.736.800,11.284.150.246.413.100,496,0,14.0,1.760.681.686.165.900,54,2,0,0,0,29,8,0,0,1,19,4,0,0,1,10,4,0,0
59897,53,17,6,75601,8,1222,75584,4,390,1744244496243,1744244571835,75592,4,832,96,152.75,6.201.785.457.200.430,234,96,97.5,23.804.761.428.476.100,101,173,208.0,28.786.570.943.178.800,234,7,10.800.142.857.142.800,16.116.000.904.159.100,40085,9414,25.194.666.666.666.600,15.358.976.571.807.500,40094,9412,25.197.333.333.333.300,15.360.292.228.122.900,40094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50664,53,17,6,65081,10,1685,65075,5,499,1744244536334,1744244601409,65075,5,1186,94,168.5,8.079.913.365.872.180,301,94,99.8,61.400.325.732.035,109,173,237.2,534.059.921.731.635,301,3,7.231.222.222.222.220,11.631.247.587.616.900,29582,5045,16268.75,12.844.291.452.496.100,29585,5046,16268.75,12.843.630.519.314.400,29588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36373,1900,17,4,780,4,698,780,4,698,0,0,0,0,0,174,174.5,5.773.502.691.896.210,175,174,174.5,5.773.502.691.896.210,175,0,0.0,0.0,0,260,260.0,0.0,260,260,260.0,0.0,260,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
443,55236,6,4,137445,18,1445,137445,10,940,1744244490027,1744244627471,137444,8,505,60,8.027.777.777.777.770,43.199.680.766.189.100,200,60,94.0,5.471.339.466.305.810,200,60,6.312.500.000.000.000,8.838.834.764.831.840,85,0,8085.0,1.995.883.730.331.000,59993,0,15.271.666.666.666.600,2.605.089.678.878.630,60151,0,1.963.485.714.285.710,28.315.358.714.712.700,60129,0,0,0,0,16,5,3,2,0,10,4,0,1,0,6,1,3,1
5353,5353,17,4,72968,13,5871,72968,13,5871,0,0,0,0,0,131,45.161.538.461.538.400,2.814.479.047.300.280,773,131,45.161.538.461.538.400,2.814.479.047.300.280,773,0,0.0,0.0,0,248,6.080.666.666.666.660,9.346.394.349.337.780,32143,248,6.080.666.666.666.660,9.346.394.349.337.780,32143,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5353,5353,17,6,72968,13,6131,72968,13,6131,0,0,0,0,0,151,47.161.538.461.538.400,2.814.479.047.300.280,793,151,47.161.538.461.538.400,2.814.479.047.300.280,793,0,0.0,0.0,0,248,6.080.666.666.666.660,9.346.399.446.100.110,32143,248,6.080.666.666.666.660,9.346.399.446.100.110,32143,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5353,5353,17,4,32862,11,5763,32862,11,5763,0,0,0,0,0,145,523.909.090.909.091,2.909.726.635.082.590,803,145,523.909.090.909.091,2.909.726.635.082.590,803,0,0.0,0.0,0,250,3286.2,3.557.488.308.718.190,10603,250,3286.2,3.557.488.308.718.190,10603,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5353,5353,17,6,32862,11,5983,32862,11,5983,0,0,0,0,0,165,543.909.090.909.091,2.909.726.635.082.590,823,165,543.909.090.909.091,2.909.726.635.082.590,823,0,0.0,0.0,0,250,3286.2,3.557.488.308.718.190,10603,250,3286.2,3.557.488.308.718.190,10603,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36373,1900,17,4,779,4,698,779,4,698,0,0,0,0,0,174,174.5,5.773.502.691.896.210,175,174,174.5,5.773.502.691.896.210,175,0,0.0,0.0,0,259,2.596.666.666.666.660,577.350.269.189.634,260,259,2.596.666.666.666.660,577.350.269.189.634,260,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5353,5353,17,4,757,6,1615,757,6,1615,0,0,0,0,0,93,2.691.666.666.666.660,19.674.187.827.370.800,507,93,2.691.666.666.666.660,19.674.187.827.370.800,507,0,0.0,0.0,0,1,151.4,13.684.041.800.579.200,252,1,151.4,13.684.041.800.579.200,252,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5353,5353,17,6,757,6,1735,757,6,1735,0,0,0,0,0,113,2.891.666.666.666.660,19.674.187.827.370.800,527,113,2.891.666.666.666.660,19.674.187.827.370.800,527,0,0.0,0.0,0,1,151.4,13.684.041.800.579.200,252,1,151.4,13.684.041.800.579.200,252,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
