src_port,dst_port,protocol,ip_version,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,bidirectional_min_ps,bidirectional_mean_ps,bidirectional_stddev_ps,bidirectional_max_ps,src2dst_min_ps,src2dst_mean_ps,src2dst_stddev_ps,src2dst_max_ps,dst2src_min_ps,dst2src_mean_ps,dst2src_stddev_ps,dst2src_max_ps,bidirectional_min_piat_ms,bidirectional_mean_piat_ms,bidirectional_stddev_piat_ms,bidirectional_max_piat_ms,src2dst_min_piat_ms,src2dst_mean_piat_ms,src2dst_stddev_piat_ms,src2dst_max_piat_ms,dst2src_min_piat_ms,dst2src_mean_piat_ms,dst2src_stddev_piat_ms,dst2src_max_piat_ms,bidirectional_syn_packets,bidirectional_cwr_packets,bidirectional_ece_packets,bidirectional_urg_packets,bidirectional_ack_packets,bidirectional_psh_packets,bidirectional_rst_packets,bidirectional_fin_packets,src2dst_syn_packets,src2dst_ack_packets,src2dst_psh_packets,src2dst_rst_packets,src2dst_fin_packets,dst2src_syn_packets,dst2src_ack_packets,dst2src_psh_packets,dst2src_rst_packets,dst2src_fin_packets
36373,1900,17,4,780,4,698,780,4,698,0,0,0,0,0,174,174.5,5.773.502.691.896.210,175,174,174.5,5.773.502.691.896.210,175,0,0.0,0.0,0,260,260.0,0.0,260,260,260.0,0.0,260,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53398,443,6,4,578,17,35750,578,6,2969,1744234695821,1744234696386,565,11,32781,60,21.029.411.764.705.800,30.480.278.556.508.500,8275,60,4.948.333.333.333.330,8.985.411.324.289.310,2321,60,2.980.090.909.090.900,3.473.202.080.344.460,8275,0,3.612.500.000.000.000,12.808.324.116.240.400,516,3,115.6,23.116.617.399.611.000,529,0,56.5,1.616.156.276.821.980,516,2,0,0,0,16,10,0,0,1,5,3,0,0,1,11,7,0,0
53400,80,6,4,9,13,4413,9,6,454,1744234711186,1744234711194,8,7,3959,60,33.946.153.846.153.800,7.998.392.146.117.670,2974,60,7.566.666.666.666.660,35.517.132.016.347.600,148,60,5.655.714.285.714.280,10.720.074.404.503.600,2974,0,0.75,1.712.255.291.076.120,6,0,1.8,29.495.762.407.505.200,7,0,13.333.333.333.333.300,23.380.903.889.000.200,6,2,0,0,0,12,4,0,1,1,5,1,0,0,1,7,3,0,1
36373,1900,17,4,780,4,698,780,4,698,0,0,0,0,0,174,174.5,5.773.502.691.896.210,175,174,174.5,5.773.502.691.896.210,175,0,0.0,0.0,0,260,260.0,0.0,260,260,260.0,0.0,260,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36373,1900,17,4,780,4,698,780,4,698,0,0,0,0,0,174,174.5,5.773.502.691.896.210,175,174,174.5,5.773.502.691.896.210,175,0,0.0,0.0,0,260,260.0,0.0,260,260,260.0,0.0,260,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,58,6,5025,6,516,5025,6,516,0,0,0,0,0,86,86.0,0.0,86,86,86.0,0.0,86,0,0.0,0.0,0,994,1005.0,14.764.823.060.233.300,1031,994,1005.0,14.764.823.060.233.300,1031,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5353,5353,17,4,28450,24,3175,28450,24,3175,0,0,0,0,0,86,13.229.166.666.666.600,12.219.353.116.254.100,507,86,13.229.166.666.666.600,12.219.353.116.254.100,507,0,0.0,0.0,0,1,12.369.565.217.391.300,3.624.236.126.140.750,17012,1,12.369.565.217.391.300,3.624.236.126.140.750,17012,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53293,5353,17,4,39994,52,4906,39994,52,4906,0,0,0,0,0,75,9.434.615.384.615.380,1.735.769.549.105.470,137,75,9.434.615.384.615.380,1.735.769.549.105.470,137,0,0.0,0.0,0,0,7.841.960.784.313.720,40.757.661.562.931.100,27409,0,7.841.960.784.313.720,40.757.661.562.931.100,27409,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5353,5353,17,6,28449,24,3655,28449,24,3655,0,0,0,0,0,106,15.229.166.666.666.600,12.219.353.116.254.100,527,106,15.229.166.666.666.600,12.219.353.116.254.100,527,0,0.0,0.0,0,1,1.236.913.043.478.260,36.239.555.851.312.400,17011,1,1.236.913.043.478.260,36.239.555.851.312.400,17011,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53220,443,6,4,113467,18,2511,113467,9,1191,1744234695967,1744234809274,113307,9,1320,60,139.5,8.519.614.048.148.640,309,60,13.233.333.333.333.300,7.726.901.060.580.490,309,60,14.666.666.666.666.600,9.663.332.758.422.420,303,0,6.674.529.411.764.700,18.786.433.523.016.100,59767,0,14.183.375,26.172.166.594.836.100,59767,0,14.163.375,26.282.911.150.661.500,59927,0,0,0,0,18,12,0,0,0,9,6,0,0,0,9,6,0,0
