src_port,dst_port,protocol,ip_version,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_duration_ms,dst2src_packets,dst2src_bytes,bidirectional_min_ps,bidirectional_mean_ps,bidirectional_stddev_ps,bidirectional_max_ps,src2dst_min_ps,src2dst_mean_ps,src2dst_stddev_ps,src2dst_max_ps,dst2src_min_ps,dst2src_mean_ps,dst2src_stddev_ps,dst2src_max_ps,bidirectional_min_piat_ms,bidirectional_mean_piat_ms,bidirectional_stddev_piat_ms,bidirectional_max_piat_ms,src2dst_min_piat_ms,src2dst_mean_piat_ms,src2dst_stddev_piat_ms,src2dst_max_piat_ms,dst2src_min_piat_ms,dst2src_mean_piat_ms,dst2src_stddev_piat_ms,dst2src_max_piat_ms,bidirectional_syn_packets,bidirectional_cwr_packets,bidirectional_ece_packets,bidirectional_urg_packets,bidirectional_ack_packets,bidirectional_psh_packets,bidirectional_rst_packets,bidirectional_fin_packets,src2dst_syn_packets,src2dst_ack_packets,src2dst_psh_packets,src2dst_rst_packets,src2dst_fin_packets,dst2src_syn_packets,dst2src_ack_packets,dst2src_psh_packets,dst2src_rst_packets,dst2src_fin_packets
53035,443,6,4,394,11,710,1744233489464,1744233489858,394,6,385,235,5,325,60,6.454.545.454.545.450,10.112.997.936.948.600,85,60,6.416.666.666.666.660,10.206.207.261.596.500,85,60,65.0,11.180.339.887.498.900,85,0,39.4,6.708.071.423.458.620,159,0,78.8,11.084.087.693.626.300,235,0,58.75,11.683.428.435.181.100,234,0,0,0,0,9,2,3,2,0,4,1,3,1,0,5,1,0,1
53101,53,6,4,15,9,662,1744233489623,1744233489638,15,5,333,14,4,329,60,7.355.555.555.555.550,27.468.669.020.864.000,143,60,66.6,11.696.153.213.770.700,87,60,82.25,4.059.864.529.759.580,143,0,18.750.000.000.000.000,3.758.324.094.593.220,11,0,37.500.000.000.000.000,5.560.275.772.537.420,12,1,4.666.666.666.666.660,5.507.570.547.286.100,11,2,0,0,0,8,2,0,2,1,4,1,0,1,1,4,1,0,1
53102,53,6,4,16,11,756,1744233489623,1744233489639,16,6,391,15,5,365,60,6.872.727.272.727.270,18.276.164.308.141.400,119,60,6.516.666.666.666.660,10.008.329.864.001.600,85,60,73.0,2.584.569.596.664.010,119,0,15.999.999.999.999.900,4.033.195.589.934.440,13,0,3.2,5.495.452.665.613.630,13,0,3.75,618.465.843.842.649,13,2,0,0,0,10,3,0,2,1,5,2,0,1,1,5,1,0,1
53103,53,6,4,20,11,885,1744233489623,1744233489643,20,6,391,19,5,494,60,8.045.454.545.454.540,5.607.024.814.705.850,248,60,6.516.666.666.666.660,10.008.329.864.001.600,85,60,98.8,834.457.907.865.939,248,0,2.0,5.291.502.622.129.180,17,0,4.0,784.219.357.067.906,18,0,4.75,8.180.260.794.538.680,17,2,0,0,0,10,3,0,2,1,5,2,0,1,1,5,1,0,1
0,0,58,6,0,1,150,1744233495410,1744233495410,0,1,150,0,0,0,150,150.0,0.0,150,150,150.0,0.0,150,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53050,443,6,4,161,2,120,1744233497465,1744233497465,0,1,60,0,1,60,60,60.0,0.0,60,60,60.0,0.0,60,60,60.0,0.0,60,161,161.0,0.0,161,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0
53063,443,6,6,7,7,2105,1744233506122,1744233506129,7,4,421,5,3,1684,74,3.007.142.857.142.850,34.596.325.155.798.100,805,74,105.25,4.207.433.897.282.280,163,74,5.613.333.333.333.330,42.204.304.677.761.600,805,0,11.666.666.666.666.600,20.412.414.523.193.100,5,0,2.333.333.333.333.330,4.041.451.884.327.380,7,0,2.5,35.355.339.059.327.300,5,0,0,0,0,7,4,0,0,0,4,2,0,0,0,3,2,0,0
36373,1900,17,4,780,4,698,1744233509137,1744233509917,780,4,698,0,0,0,174,174.5,5.773.502.691.896.210,175,174,174.5,5.773.502.691.896.210,175,0,0.0,0.0,0,259,260.0,1.0,261,259,260.0,1.0,261,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64990,53,17,6,6,2,433,1744233492418,1744233492418,0,1,96,0,1,337,96,216.5,17.041.273.426.595.700,337,96,96.0,0.0,96,337,337.0,0.0,337,6,6.0,0.0,6,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51544,53,17,6,7,2,366,1744233492418,1744233492418,0,1,96,0,1,270,96,183.0,12.303.657.992.645.900,270,96,96.0,0.0,96,270,270.0,0.0,270,7,7.0,0.0,7,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
