src_port,dst_mac,dst_port,protocol,ip_version,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,bidirectional_min_ps,bidirectional_mean_ps,bidirectional_stddev_ps,bidirectional_max_ps,src2dst_min_ps,src2dst_mean_ps,src2dst_stddev_ps,src2dst_max_ps,dst2src_min_ps,dst2src_mean_ps,dst2src_stddev_ps,dst2src_max_ps,bidirectional_min_piat_ms,bidirectional_mean_piat_ms,bidirectional_stddev_piat_ms,bidirectional_max_piat_ms,src2dst_min_piat_ms,src2dst_mean_piat_ms,src2dst_stddev_piat_ms,src2dst_max_piat_ms,dst2src_min_piat_ms,dst2src_mean_piat_ms,dst2src_stddev_piat_ms,dst2src_max_piat_ms,bidirectional_syn_packets,bidirectional_cwr_packets,bidirectional_ece_packets,bidirectional_urg_packets,bidirectional_ack_packets,bidirectional_psh_packets,bidirectional_rst_packets,bidirectional_fin_packets,src2dst_syn_packets,src2dst_ack_packets,src2dst_psh_packets,src2dst_rst_packets,src2dst_fin_packets,dst2src_syn_packets,dst2src_ack_packets,dst2src_psh_packets,dst2src_rst_packets,dst2src_fin_packets
54038,94:25:33:8c:ec:cd,443,6,6,96,21,3184,43,10,1699,1744237812363,1744237812447,84,11,1485,74,15.161.904.761.904.700,14.338.984.489.512.300,719,74,169.9,19.770.542.059.673.800,719,74,135.0,7.283.268.497.041.690,286,0,4.8,12.063.865.139.550.500,53,0,4.777.777.777.777.770,565.194.165.260.439,13,0,8.4,16.873.384.696.352.700,53,2,0,0,0,20,12,0,0,1,9,5,0,0,1,11,7,0,0
54039,94:25:33:8c:ec:cd,443,6,6,96,23,3354,43,12,1869,1744237812363,1744237812447,84,11,1485,74,14.582.608.695.652.100,14.116.098.230.354.300,732,74,155.75,18.656.323.568.455.500,732,74,135.0,7.283.268.497.041.690,286,0,4.363.636.363.636.360,11.565.735.331.842.600,53,0,3.909.090.909.090.900,52.048.928.030.180.400,12,0,8.4,16.873.384.696.352.700,53,2,0,0,0,22,12,0,0,1,11,5,0,0,1,11,7,0,0
54043,94:25:33:8c:ec:cd,443,6,6,116,21,3184,58,11,1795,1744237812368,1744237812467,99,10,1389,74,15.161.904.761.904.700,1.466.746.318.183.460,732,74,1.631.818.181.818.180,19.379.722.298.413.700,732,74,138.9,7.572.384.036.748.260,286,0,5.800.000.000.000.000,13.605.726.348.625.500,58,0,5.8,7.598.245.411.496.870,17,0,11.0,19.868.316.486.305.500,59,2,0,0,0,20,11,0,0,1,10,5,0,0,1,10,6,0,0
54044,94:25:33:8c:ec:cd,443,6,4,858,19,4817,659,11,1702,1744237826556,1744237827253,697,8,3115,60,25.352.631.578.947.300,4.625.942.989.057.650,2093,60,15.472.727.272.727.200,1.487.125.353.889.780,571,60,38.937.500.000.000.000,6.944.387.121.985.640,2093,0,4.766.666.666.666.660,7.753.329.455.598.980,199,0,65.9,8.277.338.541.665.020,165,0,9.957.142.857.142.850,936.035.204.873.142,199,2,0,0,0,18,12,0,0,1,10,7,0,0,1,8,5,0,0
54045,94:25:33:8c:ec:cd,443,6,4,858,20,4956,659,11,1838,1744237830246,1744237830943,697,9,3118,60,24.779.999.999.999.900,4.526.522.541.177.660,2091,60,1.670.909.090.909.090,15.501.706.650.911.300,571,60,34.644.444.444.444.400,660.819.020.441.889,2091,0,4.515.789.473.684.210,7.590.949.520.309.230,199,0,6.589.999.999.999.990,8.255.967.538.695.870,165,0,87.125,9.352.682.961.130.910,199,2,0,0,0,19,12,0,0,1,10,7,0,0,1,9,5,0,0
53939,94:25:33:8c:ec:cd,443,6,4,0,1,60,0,1,60,0,0,0,0,0,60,60.0,0.0,60,60,60.0,0.0,60,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
36373,01:00:5e:7f:ff:fa,1900,17,4,780,4,698,780,4,698,0,0,0,0,0,174,174.5,5.773.502.691.896.210,175,174,174.5,5.773.502.691.896.210,175,0,0.0,0.0,0,260,260.0,0.0,260,260,260.0,0.0,260,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54040,94:25:33:8c:ec:cd,443,6,6,22,22,3308,22,11,1811,1744237812354,1744237812373,19,11,1497,74,15.036.363.636.363.600,14.656.334.416.495.000,745,74,16.463.636.363.636.300,19.768.625.279.835.300,745,74,1.360.909.090.909.090,747.107.148.211.748,286,0,10.476.190.476.190.400,15.321.941.938.341.300,5,0,2.2,15.491.933.384.829.600,5,0,19.000.000.000.000.000,31.073.389.830.457.100,7,2,0,0,0,21,12,0,0,1,10,5,0,0,1,11,7,0,0
54042,94:25:33:8c:ec:cd,443,6,6,68,22,3305,26,11,1808,1744237812357,1744237812419,62,11,1497,74,15.022.727.272.727.200,14.650.367.517.515.300,745,74,16.436.363.636.363.600,1.976.149.147.849.280,745,74,1.360.909.090.909.090,747.107.148.211.748,286,0,32.380.952.380.952.300,909.892.719.997.672,42,0,2.6,22.705.848.487.901.800,6,0,6.199.999.999.999.990,13.019.643.278.950.100,42,2,0,0,0,21,12,0,0,1,10,5,0,0,1,11,7,0,0
54041,94:25:33:8c:ec:cd,443,6,6,62,28,4422,62,14,2216,1744237812354,1744237812413,59,14,2206,74,15.792.857.142.857.100,149.249.959.010.213,745,74,15.828.571.428.571.400,17.871.224.338.042.900,745,74,15.757.142.857.142.800,11.969.237.125.340.800,503,0,2.296.296.296.296.290,7.070.060.465.494.970,37,0,4.769.230.769.230.760,9.790.759.641.568.890,37,0,4.538.461.538.461.530,10.713.040.220.648.400,39,2,0,0,0,27,15,0,0,1,13,6,0,0,1,14,9,0,0
64990,94:25:33:8c:ec:cd,53,17,6,6,2,332,0,1,109,1744237830069,1744237830069,0,1,223,109,166.0,8.061.017.305.526.640,223,109,109.0,0.0,109,223,223.0,0.0,223,6,6.0,0.0,6,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36373,01:00:5e:7f:ff:fa,1900,17,4,780,4,698,780,4,698,0,0,0,0,0,174,174.5,5.773.502.691.896.210,175,174,174.5,5.773.502.691.896.210,175,0,0.0,0.0,0,260,260.0,0.0,260,260,260.0,0.0,260,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54048,94:25:33:8c:ec:cd,443,6,6,98,23,4255,47,11,2084,1744237878151,1744237878237,86,12,2171,74,18.500.000.000.000.000,20.493.990.249.915.600,842,74,18.945.454.545.454.500,2.337.739.778.659.560,842,74,18.091.666.666.666.600,1.851.502.870.315.860,671,0,4.454.545.454.545.450,1.121.107.986.272.110,51,0,4.700.000.000.000.000,5.313.504.806.936.120,12,0,7.818.181.818.181.810,15.657.702.141.873.700,51,2,0,0,0,22,11,0,0,1,10,5,0,0,1,12,6,0,0
54047,94:25:33:8c:ec:cd,443,6,6,784,30,3845,784,21,2524,1744237877069,1744237877169,100,9,1321,74,12.816.666.666.666.600,15.211.884.721.546.100,841,74,12.019.047.619.047.600,16.694.149.245.996.900,841,74,14.677.777.777.777.700,11.684.474.504.420.100,361,0,2.703.448.275.862.060,11.558.623.334.939.700,625,0,39.2,14.116.679.197.989.400,636,0,12.5,1.489.966.442.575.130,45,2,0,0,0,29,8,0,0,1,20,4,0,0,1,9,4,0,0
5353,01:00:5e:00:00:fb,5353,17,4,757,6,1615,757,6,1615,0,0,0,0,0,93,2.691.666.666.666.660,19.674.187.827.370.800,507,93,2.691.666.666.666.660,19.674.187.827.370.800,507,0,0.0,0.0,0,1,151.4,13.684.041.800.579.200,252,1,151.4,13.684.041.800.579.200,252,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
