src_port,dst_port,protocol,ip_version,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,bidirectional_min_ps,bidirectional_mean_ps,bidirectional_stddev_ps,bidirectional_max_ps,src2dst_min_ps,src2dst_mean_ps,src2dst_stddev_ps,src2dst_max_ps,dst2src_min_ps,dst2src_mean_ps,dst2src_stddev_ps,dst2src_max_ps,bidirectional_min_piat_ms,bidirectional_mean_piat_ms,bidirectional_stddev_piat_ms,bidirectional_max_piat_ms,src2dst_min_piat_ms,src2dst_mean_piat_ms,src2dst_stddev_piat_ms,src2dst_max_piat_ms,dst2src_min_piat_ms,dst2src_mean_piat_ms,dst2src_stddev_piat_ms,dst2src_max_piat_ms,bidirectional_syn_packets,bidirectional_cwr_packets,bidirectional_ece_packets,bidirectional_urg_packets,bidirectional_ack_packets,bidirectional_psh_packets,bidirectional_rst_packets,bidirectional_fin_packets,src2dst_syn_packets,src2dst_ack_packets,src2dst_psh_packets,src2dst_rst_packets,src2dst_fin_packets,dst2src_syn_packets,dst2src_ack_packets,dst2src_psh_packets,dst2src_rst_packets,dst2src_fin_packets
443,54359,6,6,0,4,320,0,2,172,1744240277345,1744240277345,0,2,148,74,80.0,12.0,98,74,86.0,1.697.056.274.847.710,98,74,74.0,0.0,74,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,4,1,0,1,0,2,1,0,1,0,2,0,0,0
0,0,58,6,0,2,164,0,1,86,1744240279777,1744240279777,0,1,78,78,82.0,5.656.854.249.492.380,86,86,86.0,0.0,86,78,78.0,0.0,78,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58675,1900,17,4,0,1,167,0,1,167,0,0,0,0,0,167,167.0,0.0,167,167,167.0,0.0,167,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54396,53,6,4,24,9,840,24,5,346,1744240281647,1744240281670,23,4,494,60,9.333.333.333.333.330,8.152.913.589.631.620,308,60,69.2,17.412.639.087.743.100,100,60,12.350.000.000.000.000,12.303.251.602.726.800,308,0,3.0,7.690.439.333.539.860,22,0,6.0,10.677.078.252.031.300,22,0,7.666.666.666.666.660,12.423.096.769.056.100,22,2,0,0,0,8,2,0,2,1,4,1,0,1,1,4,1,0,1
54397,53,6,4,22,9,816,22,5,346,1744240281647,1744240281668,21,4,470,60,9.066.666.666.666.660,7.364.102.117.705.860,284,60,69.2,17.412.639.087.743.100,100,60,11.750.000.000.000.000,11.103.603.018.840.300,284,0,2.75,6.584.614.100.852.290,19,0,5.5,9.678.154.093.971.980,20,0,7.0,1.044.030.650.891.050,19,2,0,0,0,8,2,0,2,1,4,1,0,1,1,4,1,0,1
54398,53,6,4,15,11,935,15,6,404,1744240281647,1744240281661,14,5,531,60,85.0,6.728.001.189.060.530,285,60,6.733.333.333.333.330,15.214.028.613.968.900,98,60,106.2,9.998.599.901.986.270,285,0,1.5,4.403.281.604.540.960,14,0,3.0,6.164.414.002.968.970,14,0,3.5,7.0,14,2,0,0,0,10,3,0,2,1,5,2,0,1,1,5,1,0,1
36373,1900,17,4,780,4,698,780,4,698,0,0,0,0,0,174,174.5,5.773.502.691.896.210,175,174,174.5,5.773.502.691.896.210,175,0,0.0,0.0,0,260,260.0,0.0,260,260,260.0,0.0,260,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54308,443,6,4,0,1,60,0,1,60,0,0,0,0,0,60,60.0,0.0,60,60,60.0,0.0,60,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,58,6,0,1,86,0,1,86,0,0,0,0,0,86,86.0,0.0,86,86,86.0,0.0,86,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36373,1900,17,4,780,4,698,780,4,698,0,0,0,0,0,174,174.5,5.773.502.691.896.210,175,174,174.5,5.773.502.691.896.210,175,0,0.0,0.0,0,260,260.0,0.0,260,260,260.0,0.0,260,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,58,6,1,2,164,0,1,86,1744240349691,1744240349691,0,1,78,78,82.0,5.656.854.249.492.380,86,86,86.0,0.0,86,78,78.0,0.0,78,1,1.0,0.0,1,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5353,5353,17,4,756,6,1615,756,6,1615,0,0,0,0,0,93,2.691.666.666.666.660,19.674.187.827.370.800,507,93,2.691.666.666.666.660,19.674.187.827.370.800,507,0,0.0,0.0,0,1,151.2,13.665.906.482.923.100,252,1,151.2,13.665.906.482.923.100,252,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5353,5353,17,6,755,6,1735,755,6,1735,0,0,0,0,0,113,2.891.666.666.666.660,19.674.187.827.370.800,527,113,2.891.666.666.666.660,19.674.187.827.370.800,527,0,0.0,0.0,0,1,151.0,13.693.063.937.629.100,251,1,151.0,13.693.063.937.629.100,251,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51544,53,17,6,10,2,312,0,1,100,1744240348558,1744240348558,0,1,212,100,156.0,7.919.595.949.289.330,212,100,100.0,0.0,100,212,212.0,0.0,212,10,10.0,0.0,10,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64578,53,17,6,10,2,336,0,1,100,1744240348558,1744240348558,0,1,236,100,168.0,9.616.652.224.137.040,236,100,100.0,0.0,100,236,236.0,0.0,236,10,10.0,0.0,10,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,58,6,4998,4,328,4998,2,164,1744240284992,1744240289989,4997,2,164,78,82.0,4.618.802.153.517.000,86,78,82.0,5.656.854.249.492.380,86,78,82.0,5.656.854.249.492.380,86,0,1666.0,2.884.730.663.337.560,4997,4998,4998.0,0.0,4998,4997,4997.0,0.0,4997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50212,443,6,6,142,2,161,0,1,75,1744240397176,1744240397176,0,1,86,75,80.5,77.781.745.930.520.200,86,75,75.0,0.0,75,86,86.0,0.0,86,142,142.0,0.0,142,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0
0,0,58,6,0,1,150,0,1,150,0,0,0,0,0,150,150.0,0.0,150,150,150.0,0.0,150,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54399,443,6,6,122940,38,11927,90743,18,4301,1744240281690,1744240404610,122920,20,7626,74,3.138.684.210.526.310,4.171.056.753.164.870,1466,74,2.389.444.444.444.440,2.953.495.381.293.190,964,74,381.3,5.006.435.963.101.050,1466,0,3.322.702.702.702.700,1.140.317.589.987.990,45024,1,5.337.823.529.411.760,14.940.825.128.801.000,45043,0,6.469.473.684.210.520,15.452.364.059.940.300,45044,2,0,0,0,37,16,1,0,1,17,7,0,0,1,20,9,1,0
36373,1900,17,4,775,4,698,775,4,698,0,0,0,0,0,174,174.5,5.773.502.691.896.210,175,174,174.5,5.773.502.691.896.210,175,0,0.0,0.0,0,254,2.583.333.333.333.330,37.859.388.972.001.700,261,254,2.583.333.333.333.330,37.859.388.972.001.700,261,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,58,6,0,1,86,0,1,86,0,0,0,0,0,86,86.0,0.0,86,86,86.0,0.0,86,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54449,443,6,6,95,23,3354,46,12,1869,1744240460848,1744240460932,84,11,1485,74,14.582.608.695.652.100,14.116.098.230.354.300,732,74,155.75,18.656.323.568.455.500,732,74,135.0,7.283.268.497.041.690,286,0,4.318.181.818.181.810,10.602.723.655.634.300,49,0,41.818.181.818.181.800,44.903.937.871.456.600,13,0,8.4,15.529.183.995.160.700,49,2,0,0,0,22,12,0,0,1,11,5,0,0,1,11,7,0,0
54448,443,6,6,96,22,3258,46,12,1847,1744240460849,1744240460933,84,10,1411,74,14.809.090.909.090.900,14.090.926.127.625.500,719,74,15.391.666.666.666.600,1.826.857.502.196.960,719,74,141.1,737.510.075.260.746,286,0,4.571.428.571.428.570,11.075.068.526.069.800,50,0,41.818.181.818.181.800,4.468.068.527.186.700,12,0,9.333.333.333.333.330,16.545.392.107.774.200,50,2,0,0,0,21,12,0,0,1,11,5,0,0,1,10,7,0,0
54450,443,6,6,131,21,3184,70,11,1795,1744240460858,1744240460968,110,10,1389,74,15.161.904.761.904.700,1.466.746.318.183.460,732,74,1.631.818.181.818.180,19.379.722.298.413.700,732,74,138.9,7.572.384.036.748.260,286,0,6.550.000.000.000.000,14.741.545.302.129.500,61,0,6.999.999.999.999.990,9.510.228.411.791.400,21,0,12.222.222.222.222.200,21.241.338.103.905.800,62,2,0,0,0,20,11,0,0,1,10,5,0,0,1,10,6,0,0
36373,1900,17,4,779,4,698,779,4,698,0,0,0,0,0,174,174.5,5.773.502.691.896.210,175,174,174.5,5.773.502.691.896.210,175,0,0.0,0.0,0,259,2.596.666.666.666.660,577.350.269.189.634,260,259,2.596.666.666.666.660,577.350.269.189.634,260,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5353,5353,17,4,760,6,1615,760,6,1615,0,0,0,0,0,93,2.691.666.666.666.660,19.674.187.827.370.800,507,93,2.691.666.666.666.660,19.674.187.827.370.800,507,0,0.0,0.0,0,2,152.0,13.647.527.248.553.100,252,2,152.0,13.647.527.248.553.100,252,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5353,5353,17,6,760,6,1735,760,6,1735,0,0,0,0,0,113,2.891.666.666.666.660,19.674.187.827.370.800,527,113,2.891.666.666.666.660,19.674.187.827.370.800,527,0,0.0,0.0,0,2,152.0,13.693.246.510.597.800,253,2,152.0,13.693.246.510.597.800,253,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54391,443,6,6,210033,34,2746,209913,16,1222,1744240281837,1744240491752,209915,18,1524,74,8.076.470.588.235.290,701.970.742.517.919,98,74,76.375,5.772.059.135.756.200,98,74,8.466.666.666.666.660,5.656.854.249.492.380,98,0,6.364.636.363.636.360,7.425.077.528.291.290,15009,0,13.994.199.999.999.900,38.993.156.579.071.600,15128,0,12.347.941.176.470.500,58.912.105.660.741.300,15128,0,0,0,0,32,2,2,2,0,16,1,0,1,0,16,1,2,1
49665,123,17,4,219,2,180,0,1,90,1744240283022,1744240283022,0,1,90,90,90.0,0.0,90,90,90.0,0.0,90,90,90.0,0.0,90,219,219.0,0.0,219,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,58,6,0,2,164,0,1,86,1744240459125,1744240459125,0,1,78,78,82.0,5.656.854.249.492.380,86,86,86.0,0.0,86,78,78.0,0.0,78,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
443,50212,6,6,187,3,723,187,2,515,1744240460116,1744240460116,0,1,208,74,241.0,1.857.121.428.447.800,441,74,257.5,25.950.818.869.546.200,441,208,208.0,0.0,208,3,93.5,1.279.863.273.947.650,184,187,187.0,0.0,187,0,0.0,0.0,0,0,0,0,0,3,2,0,0,0,2,1,0,0,0,1,1,0,0
54445,443,6,6,74,29,4496,74,14,2216,1744240460840,1744240460911,71,15,2280,74,1.550.344.827.586.200,14.742.104.006.615.600,745,74,15.828.571.428.571.400,17.877.292.368.185.400,745,74,152.0,11.733.955.611.204.300,503,0,26.428.571.428.571.400,8.115.893.349.947.670,42,0,56.923.076.923.076.900,146.081.291.032.574,54,0,5.071.428.571.428.570,11.431.833.325.709.900,42,2,0,0,0,28,15,0,0,1,13,6,0,0,1,15,9,0,0
55850,53,17,6,9,2,317,0,1,102,1744240406782,1744240406782,0,1,215,102,158.5,7.990.306.627.407.980,215,102,102.0,0.0,102,215,215.0,0.0,215,9,9.0,0.0,9,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53431,53,17,6,6,2,345,0,1,106,1744240456457,1744240456457,0,1,239,106,172.5,9.404.520.189.781.080,239,106,106.0,0.0,106,239,239.0,0.0,239,6,6.0,0.0,6,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54447,443,6,6,60,22,3305,16,11,1808,1744240460840,1744240460897,57,11,1497,74,1.502.272.727.272.720,14.650.367.517.515.300,745,74,16.436.363.636.363.600,19.761.491.478.492.800,745,74,1.360.909.090.909.090,747.107.148.211.748,286,0,2.857.142.857.142.850,9.509.393.851.795.780,44,0,15.999.999.999.999.900,1.429.840.705.968.480,4,0,5.699.999.999.999.990,13.687.382.673.266.800,44,2,0,0,0,21,12,0,0,1,10,5,0,0,1,11,7,0,0
54446,443,6,6,68,23,3379,23,13,1956,1744240460843,1744240460905,62,10,1423,74,14.691.304.347.826.000,14.401.512.327.261.000,745,74,15.046.153.846.153.800,18.356.089.606.477.300,745,74,142.3,7.570.124.026.578.280,286,0,3.090.909.090.909.090,9.546.423.368.686.260,45,0,19.166.666.666.666.600,22.343.733.444.579.500,6,0,6.888.888.888.888.880,14.700.718.047.466.600,45,2,0,0,0,22,12,0,0,1,12,5,0,0,1,10,7,0,0
54442,443,6,6,146,17,3551,106,11,1708,1744240456646,1744240456769,123,6,1843,74,20.888.235.294.117.600,3.045.235.792.087.660,1296,74,15.527.272.727.272.700,14.577.385.973.424.100,547,74,3.071.666.666.666.660,4.861.441.830.019.840,1296,0,9.125,1.354.437.152.473.300,40,0,10.600.000.000.000.000,12.294.533.563.968.800,31,0,24.6,2.599.615.356.163.290,60,2,0,0,0,16,8,0,0,1,10,5,0,0,1,6,3,0,0
54441,443,6,6,362,26,5338,362,15,2116,1744240456486,1744240456822,336,11,3222,74,20.530.769.230.769.200,2.599.748.863.610.890,1056,74,14.106.666.666.666.600,1.282.956.778.398.280,550,74,2.929.090.909.090.900,3.623.422.289.895.160,1056,0,14.479.999.999.999.900,2.869.395.987.543.950,126,0,25.857.142.857.142.800,3.848.847.408.462.220,126,0,33.6,6.238.625.204.678.060,200,2,0,0,0,25,14,0,0,1,14,6,0,0,1,11,8,0,0
36373,1900,17,4,778,4,698,778,4,698,0,0,0,0,0,174,174.5,5.773.502.691.896.210,175,174,174.5,5.773.502.691.896.210,175,0,0.0,0.0,0,259,2.593.333.333.333.330,5.773.502.691.896.210,260,259,2.593.333.333.333.330,5.773.502.691.896.210,260,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
